precordial,I
0,0
0.9308788006,0.91005659
0.9446549991,0.9431025632
0.94391659,0.9450864782
0.9561314614,0.9535915143
0.9604551504,0.9588671286
0.9649790104,0.9647654963
0.9608154595,0.9646498417
0.9634265766,0.9627015108
0.9686621551,0.9667672052
0.9688311887,0.9665581348
0.9709485523,0.9681861925
0.9673232292,0.9683018501
0.9704948283,0.9690936321
0.9719093709,0.9682262283
0.9731949136,0.9693783234
0.9728390585,0.9690002203
0.9711175828,0.9712510314
0.973332809,0.9697742144
0.9737064602,0.9699832807
0.9747873843,0.971402268
0.9746139029,0.9704948294
0.9732349453,0.971059754
0.9760907159,0.9716291304